CommentFileRelation/\org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/formatter/FormatterRegressionTests.java/\misterti misterti/\Mateusz Matela/\163169/\4ad54e916f4aed330ffd13c48d5b94e427e8c38e
CommentFileRelation/\org.eclipse.jdt.core.tests.model/src/org/eclipse/jdt/core/tests/formatter/FormatterRegressionTests.java/\misterti misterti/\Mateusz Matela/\163169/\4ad54e916f4aed330ffd13c48d5b94e427e8c38e
CommentFileRelation/\org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/preferences/formatter/FormatterMessages.properties/\misterti misterti/\Mateusz Matela/\163167/\ac26a915371b8d1d0688853d249336525d3b132b
CommentFileRelation/\org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/preferences/formatter/FormatterMessages.properties/\misterti misterti/\Mateusz Matela/\163167/\ac26a915371b8d1d0688853d249336525d3b132b
CommentFileRelation/\org.eclipse.jdt.ui/ui/org/eclipse/jdt/internal/ui/preferences/formatter/FormatterModifyDialog.java/\misterti misterti/\Mateusz Matela/\163167/\ac26a915371b8d1d0688853d249336525d3b132b
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/core/formatter/DefaultCodeFormatterConstants.java/\misterti misterti/\Mateusz Matela/\163165/\c5a654227783068fcbadf1ff805cdc49ca8dfa1a
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/DefaultCodeFormatterOptions.java/\misterti misterti/\Mateusz Matela/\163165/\c5a654227783068fcbadf1ff805cdc49ca8dfa1a
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/LineBreaksPreparator.java/\misterti misterti/\Mateusz Matela/\163165/\c5a654227783068fcbadf1ff805cdc49ca8dfa1a
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/LineBreaksPreparator.java/\misterti misterti/\Mateusz Matela/\163165/\c5a654227783068fcbadf1ff805cdc49ca8dfa1a
CommentFileRelation/\org.eclipse.jdt.core/formatter/org/eclipse/jdt/internal/formatter/LineBreaksPreparator.java/\misterti misterti/\Mateusz Matela/\163165/\c5a654227783068fcbadf1ff805cdc49ca8dfa1a
