msg119819/\Nicholas Clark/\ January 10, 2007 03:47
msg247/\James H. Cloos Jr./\ August 30, 1999 18:49
msg162/\Dan Sugalski/\ August 29, 1999 15:53
msg211/\James H. Cloos Jr./\ August 30, 1999 09:02
msg169/\Tom Hughes/\ August 29, 1999 16:56
msg170/\Dan Sugalski/\ August 29, 1999 17:17
msg174/\Ask Bjoern Hansen/\ August 29, 1999 18:54
msg192/\Tom Hughes/\ August 30, 1999 04:35
msg145/\Kurt D. Starsinic/\ August 29, 1999 13:46
msg138/\Chip Salzenberg/\ August 29, 1999 13:33
msg261/\paul.marquess/\ August 31, 1999 01:01
msg171/\Michael Alan Dorman/\ August 29, 1999 17:35
msg153/\Kurt D. Starsinic/\ August 29, 1999 14:48
msg250/\thospel/\ August 30, 1999 20:19
msg256/\Ilya Zakharevich/\ August 30, 1999 23:20
msg44688/\Casey West/\ October  2, 2001 17:28
msg44694/\Jeff 'japhy' Pinyan/\ October  2, 2001 18:57
msg44695/\Jarkko Hietaniemi/\ October  2, 2001 19:29
msg44714/\Jarkko Hietaniemi/\ October  3, 2001 06:18
msg132/\Jarkko Hietaniemi/\ August 29, 1999 12:20
msg279/\M.J.T. Guy/\ August 31, 1999 08:01
msg332/\Larry Wall/\ September  1, 1999 07:38
msg355/\Ilya Zakharevich/\ September  1, 1999 17:47
msg148/\Ilya Zakharevich/\ August 29, 1999 14:02
msg149/\Jarkko Hietaniemi/\ August 29, 1999 14:10
msg165/\Ilya Zakharevich/\ August 29, 1999 16:05
msg260/\Stephen McCamant/\ August 31, 1999 00:22
msg269/\Tom Christiansen/\ August 31, 1999 04:57
msg277/\Jarkko Hietaniemi/\ August 31, 1999 07:40
msg282/\Kurt D. Starsinic/\ August 31, 1999 08:10
msg333/\Barrie Slaymaker/\ September  1, 1999 08:12
msg168/\Benjamin Franz/\ August 29, 1999 16:29
msg131/\Danny Aldham/\ August 29, 1999 12:03
msg111/\Bi Anding/\ August 29, 1999 07:26
msg35720/\Jarkko Hietaniemi/\ May  4, 2001 13:49
msg35735/\Chris Stith/\ May  4, 2001 15:16
msg35736/\Nicholas Clark/\ May  4, 2001 15:35
msg35751/\Nicholas Clark/\ May  5, 2001 04:07
msg35755/\Jarkko Hietaniemi/\ May  5, 2001 07:16
msg35761/\Nicholas Clark/\ May  5, 2001 09:36
msg35757/\Nicholas Clark/\ May  5, 2001 08:18
msg35766/\Jarkko Hietaniemi/\ May  5, 2001 10:20
msg35871/\Nicholas Clark/\ May  6, 2001 17:57
msg36609/\Nicholas Clark/\ May 16, 2001 15:34
msg36611/\Jarkko Hietaniemi/\ May 16, 2001 16:15
msg36724/\Nicholas Clark/\ May 17, 2001 16:07
msg36732/\Doug MacEachern/\ May 17, 2001 18:38
msg36726/\Jarkko Hietaniemi/\ May 17, 2001 16:14
msg36727/\Nicholas Clark/\ May 17, 2001 16:27
msg36728/\Jarkko Hietaniemi/\ May 17, 2001 16:29
msg36808/\Nicholas Clark/\ May 20, 2001 11:24
msg37121/\Jarkko Hietaniemi/\ May 26, 2001 07:27
msg37138/\Nicholas Clark/\ May 26, 2001 13:44
msg37151/\Jarkko Hietaniemi/\ May 26, 2001 16:24
msg37162/\andreas.koenig/\ May 27, 2001 00:32
msg37163/\Michael G Schwern/\ May 27, 2001 01:02
msg37166/\Michael G Schwern/\ May 27, 2001 01:30
msg37172/\Nick Ing-Simmons/\ May 27, 2001 02:56
msg37174/\Michael G Schwern/\ May 27, 2001 04:45
msg37176/\Jarkko Hietaniemi/\ May 27, 2001 06:34
msg37182/\Michael G Schwern/\ May 27, 2001 08:25
msg37184/\Jarkko Hietaniemi/\ May 27, 2001 08:29
msg37185/\Michael G Schwern/\ May 27, 2001 09:04
msg37201/\Nicholas Clark/\ May 27, 2001 14:15
msg37276/\Michael G Schwern/\ May 28, 2001 17:09
msg37279/\Jarkko Hietaniemi/\ May 28, 2001 18:20
msg37384/\Nicholas Clark/\ May 29, 2001 15:07
msg37391/\Andy Dougherty/\ May 29, 2001 17:50
msg37644/\Nicholas Clark/\ May 31, 2001 15:56
msg37694/\Jarkko Hietaniemi/\ June  1, 2001 10:21
msg37235/\Nicholas Clark/\ May 28, 2001 05:23
msg37268/\Nicholas Clark/\ May 28, 2001 14:46
msg37345/\Jarkko Hietaniemi/\ May 29, 2001 07:34
msg37202/\Jarkko Hietaniemi/\ May 27, 2001 14:22
msg37186/\Michael G Schwern/\ May 27, 2001 09:12
msg37175/\Nick Ing-Simmons/\ May 27, 2001 06:15
msg37178/\Michael G Schwern/\ May 27, 2001 07:52
msg37170/\Michael G Schwern/\ May 27, 2001 02:15
msg37146/\Jarkko Hietaniemi/\ May 26, 2001 16:04
msg37158/\Jarkko Hietaniemi/\ May 26, 2001 19:01
msg36623/\H . Merijn Brand/\ May 16, 2001 23:46
msg35855/\Nicholas Clark/\ May  6, 2001 12:31
msg35782/\Nicholas Clark/\ May  5, 2001 16:09
msg35753/\Nicholas Clark/\ May  5, 2001 06:46
msg35756/\Jarkko Hietaniemi/\ May  5, 2001 07:27
msg35853/\Nicholas Clark/\ May  6, 2001 12:24
msg35740/\Chris Stith/\ May  4, 2001 16:10
msg35743/\Alan Burlison/\ May  4, 2001 16:29
msg35741/\Alan Burlison/\ May  4, 2001 16:17
msg35725/\Gurusamy Sarathy/\ May  4, 2001 14:08
msg35727/\Jarkko Hietaniemi/\ May  4, 2001 14:18
msg35729/\Chris Nandor/\ May  4, 2001 14:25
msg35724/\Benjamin Sugars/\ May  4, 2001 14:02
msg35726/\Jarkko Hietaniemi/\ May  4, 2001 14:15
msg35721/\Alan Burlison/\ May  4, 2001 13:53
msg195/\Ian Phillipps/\ August 30, 1999 06:56
msg8145/\Nathan Torkington/\ March  1, 2000 13:38
msg8183/\David Dyck/\ March  2, 2000 01:43
msg8194/\David Dyck/\ March  2, 2000 04:23
msg8258/\Ilya Zakharevich/\ March  2, 2000 12:19
msg8195/\Nathan Torkington/\ March  2, 2000 04:31
msg108/\Jarkko Hietaniemi/\ August 29, 1999 04:24
msg141/\Ilya Zakharevich/\ August 29, 1999 13:41
msg146/\Ilya Zakharevich/\ August 29, 1999 13:46
msg147/\Jarkko Hietaniemi/\ August 29, 1999 13:58
msg43893/\H.M. Brand/\ September 18, 2001 09:31
msg43895/\Jarkko Hietaniemi/\ September 18, 2001 10:20
msg43896/\H . Merijn Brand/\ September 18, 2001 11:01
msg43931/\H . Merijn Brand/\ September 19, 2001 02:46
msg43934/\Jarkko Hietaniemi/\ September 19, 2001 05:43
msg106/\Jarkko Hietaniemi/\ August 29, 1999 04:04
msg115/\Jarkko Hietaniemi/\ August 29, 1999 08:09
msg107/\Jarkko Hietaniemi/\ August 29, 1999 04:08
msg104/\Russ Allbery/\ August 29, 1999 03:45
msg51086/\Michael G Schwern/\ January 16, 2002 12:24
msg51119/\Nicholas Clark/\ January 17, 2002 06:36
msg51151/\Michael G Schwern/\ January 17, 2002 11:32
msg51152/\chromatic/\ January 17, 2002 12:00
msg51184/\Jarkko Hietaniemi/\ January 17, 2002 15:49
msg51154/\Michael G Schwern/\ January 17, 2002 12:40
msg103/\paul.marquess/\ August 29, 1999 02:48
msg51077/\Michael G Schwern/\ January 16, 2002 10:00
msg51098/\andreas.koenig/\ January 16, 2002 20:37
msg51118/\Jarkko Hietaniemi/\ January 17, 2002 06:22
msg88566/\Nicholas Clark/\ February 16, 2004 03:44
msg88581/\Marcus Holland-Moritz/\ February 16, 2004 15:22
msg88604/\Nicholas Clark/\ February 17, 2004 15:01
msg161/\Dan Sugalski/\ August 29, 1999 15:53
msg172/\Ask Bjoern Hansen/\ August 29, 1999 18:35
msg182/\Ilya Zakharevich/\ August 29, 1999 19:46
msg158/\Ask Bjoern Hansen/\ August 29, 1999 15:25
msg243/\jan.dubois/\ August 30, 1999 16:25
msg246/\Ask Bjoern Hansen/\ August 30, 1999 16:43
msg262/\Achim Bohnet/\ August 31, 1999 01:12
